City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Nouadhibou,MR,20.931,-17.0347,64.38,94,40,5.75,Clouds
287,Port Said,EG,31.2565,32.2841,78.78,36,0,14.97,Clear
288,Mokhsogollokh,RU,61.4681,128.9203,35.46,59,100,12.82,Clouds
289,Bayanday,RU,53.0661,105.5139,57.87,50,60,8.03,Clouds
290,Brae,GB,60.3964,-1.353,45.88,82,100,23.78,Clouds
291,Igunga,TZ,-4.2833,33.8833,66.06,88,100,3.8,Clouds
292,Olafsvik,IS,64.8945,-23.7142,42.04,71,100,10.25,Clouds
293,Kholodnyy,RU,62.7167,147.95,17.53,70,100,3.31,Clouds
294,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,0,6.91,Clear
295,Wismar,DE,53.9,11.4667,38.25,79,9,4.63,Clear
296,Colombia,CU,20.9881,-77.4297,71.11,89,26,5.32,Rain
297,Santa Comba,ES,43.0331,-8.8093,52.54,90,100,6.76,Clouds
298,Malaryta,BY,51.7905,24.074,30.83,80,24,5.64,Clouds
299,Uyuni,BO,-20.4597,-66.825,42.4,15,0,8.03,Clear
300,Oistins,BB,13.0667,-59.5333,78.89,78,40,19.57,Clouds
301,Ahipara,NZ,-35.1667,173.1667,70.99,86,100,11.34,Clouds
302,Qaqortoq,GL,60.7167,-46.0333,25.63,87,32,0.85,Clouds
303,Sungai Besar,MY,3.6746,100.9867,82.51,80,100,3.78,Clouds
304,Troitskoye,RU,52.9821,84.6757,55.44,66,91,2.64,Clouds
305,Nieuw Amsterdam,SR,5.8833,-55.0833,79.02,89,41,8.37,Clouds
306,Tiksi,RU,71.6872,128.8694,7.29,94,95,4.25,Clouds
307,Waingapu,ID,-9.6567,120.2641,83.84,77,58,7.76,Clouds
308,Aklavik,CA,68.2191,-135.0107,17.49,88,94,10.16,Clouds
309,Billings,US,45.7833,-108.5007,38.97,60,40,10.36,Clouds
310,Lasa,IT,46.6166,10.7002,35.37,70,3,3.58,Clear
311,Inta,RU,66.0317,60.1659,28.71,94,100,16.51,Clouds
312,Yeppoon,AU,-23.1333,150.7333,83.98,60,12,12.3,Clouds
313,Provideniya,RU,64.3833,-173.3,32.36,86,100,20.13,Snow
314,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,19.57,Clouds
315,Bandarbeyla,SO,9.4942,50.8122,80.58,81,17,8.28,Clouds
316,Inongo,CD,-1.95,18.2667,72.63,93,100,4.21,Rain
317,Padang,ID,-0.9492,100.3543,75.25,79,100,3.33,Rain
318,Jining,CN,35.405,116.5814,68.79,38,15,8.39,Clouds
319,Binga,ZW,-17.6203,27.3414,69.12,82,55,3.96,Clouds
