City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Parana,AR,2022-04-10 00:55:39,-31.732,-60.5238,72.52,93,0,7.38
116,Toora-Khem,RU,2022-04-10 00:55:39,52.4675,96.11,28.17,68,92,8.59
117,Saint-Pierre,RE,2022-04-10 00:55:39,-21.3393,55.4781,76.68,80,100,11.5
118,Ponta Delgada,PT,2022-04-10 00:55:40,37.7333,-25.6667,56.12,76,40,26.46
119,Soure,BR,2022-04-10 00:55:40,-0.7167,-48.5233,75.04,93,100,6.6
120,Thompson,CA,2022-04-10 00:55:40,55.7435,-97.8558,33.96,93,100,10.36
121,Qandala,SO,2022-04-10 00:55:41,11.472,49.8728,81.55,60,100,4.94
122,Neiafu,TO,2022-04-10 00:55:41,-18.65,-173.9833,84.88,79,40,6.91
123,Hamilton,US,2022-04-10 00:55:13,39.1834,-84.5333,41.63,68,86,4.72
124,Nuuk,GL,2022-04-10 00:55:41,64.1835,-51.7216,15.39,82,100,5.12
125,Ormara,PK,2022-04-10 00:55:42,25.2088,64.6357,79.75,77,98,13.38
126,Mitsamiouli,KM,2022-04-10 00:55:42,-11.3847,43.2844,82.26,73,6,5.3
127,Havre,FR,2022-04-10 00:55:42,49.5833,0.3333,40.77,81,0,4.61
128,Jamestown,US,2022-04-10 00:55:43,42.097,-79.2353,34.72,46,75,6.91
129,Tual,ID,2022-04-10 00:55:43,-5.6667,132.75,83.98,74,18,15.17
130,Faanui,PF,2022-04-10 00:55:43,-16.4833,-151.75,82.33,73,23,15.68
131,Kanigoro,ID,2022-04-10 00:55:44,-8.13,112.219,79.32,81,89,1.39
132,Bayanday,RU,2022-04-10 00:55:44,53.0661,105.5139,30.88,73,100,13.13
133,Geraldton,AU,2022-04-10 00:53:37,-28.7667,114.6,64.81,72,75,12.66
134,Georgetown,MY,2022-04-10 00:55:44,5.4112,100.3354,82.33,93,20,5.01
135,Saskylakh,RU,2022-04-10 00:55:45,71.9167,114.0833,-3.14,91,15,2.21
136,Sabang,ID,2022-04-10 00:55:45,5.8933,95.3214,82.49,71,100,1.7
137,Kerouane,GN,2022-04-10 00:55:45,9.2667,-9.0167,78.91,63,85,7.02
138,Viedma,AR,2022-04-10 00:56:46,-40.8135,-62.9967,63.01,85,100,17.29
139,Codrington,AU,2022-04-10 00:56:46,-38.2667,141.9667,77.43,41,100,17.47
140,Kastamonu,TR,2022-04-10 00:56:46,41.5,33.6667,48.25,67,100,2.71
141,Buala,SB,2022-04-10 00:56:46,-8.145,159.5921,85.55,67,61,5.53
142,Diego De Almagro,CL,2022-04-10 00:56:47,-26.3667,-70.05,60.48,51,0,0.98
143,Sulina,RO,2022-04-10 00:56:47,45.1559,29.6536,54.16,72,18,3.91
144,Lompoc,US,2022-04-10 00:56:47,34.6391,-120.4579,79.57,64,0,35.99
145,Awbari,LY,2022-04-10 00:56:48,26.5921,12.7805,72.77,21,0,5.03
146,Kapaa,US,2022-04-10 00:56:48,22.0752,-159.319,78.12,76,97,5.99
147,Kadyy,RU,2022-04-10 00:56:48,57.787,43.1903,39.33,99,100,5.91
148,Torbay,CA,2022-04-10 00:52:31,47.6666,-52.7314,35.28,96,100,20.71
149,Suntar,RU,2022-04-10 00:56:49,62.1444,117.6319,24.84,85,40,3.24
150,Aripuana,BR,2022-04-10 00:56:49,-9.1667,-60.6333,73.99,97,100,0.85
151,Puerto El Triunfo,SV,2022-04-10 00:56:49,13.2833,-88.55,85.91,60,100,2.48
152,Sorland,NO,2022-04-10 00:56:50,67.667,12.6934,39.78,81,100,16.08
153,Tukrah,LY,2022-04-10 00:56:50,32.5341,20.5791,59.11,55,0,5.21
154,Mount Gambier,AU,2022-04-10 00:55:36,-37.8333,140.7667,73.31,49,100,13.8
155,Kanye,BW,2022-04-10 00:56:50,-24.9667,25.3327,53.1,98,100,10.54
156,Zapolyarnyy,RU,2022-04-10 00:56:51,69.4154,30.8136,33.08,93,21,6.67
157,Luderitz,NA,2022-04-10 00:56:51,-26.6481,15.1594,63.59,64,0,5.66
158,Butaritari,KI,2022-04-10 00:53:30,3.0707,172.7902,80.71,80,95,13.53
159,Henties Bay,NA,2022-04-10 00:56:51,-22.116,14.2845,60.78,78,0,4.7
