City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Cockburn Town,TC,78.08,Clouds,21.4612,-71.1419,Osprey Beach Hotel
133,Sao Geraldo Do Araguaia,BR,73.6,Clouds,-6.4006,-48.555,Hotel Por do Sol
138,Puerto Ayora,EC,75.16,Rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
143,Canutama,BR,73.65,Clouds,-6.5339,-64.3831,Hotel Jhennifer
149,Manta,EC,76.78,Clouds,-0.95,-80.7333,Balandra Hotel
158,Malabo,GQ,75.06,Thunderstorm,3.75,8.7833,Magno Suites
160,Vao,NC,77.09,Clouds,-22.6667,167.4833,Hotel Kou-Bugny
162,Saint George,US,79.39,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
167,Grand Gaube,MU,76.37,Rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
183,Sinazongwe,ZM,71.92,Clear,-17.2614,27.4618,Lakeview Lodge
189,Tamboril,DO,72.28,Clouds,19.4854,-70.611,Camp David Ranch Restaurant
194,Los Algarrobos,PA,73.81,Clouds,8.5,-82.4333,Waterfall Hostel
211,Sumbe,AO,77.09,Clouds,-11.2061,13.8437,Hotel Ritz Sumbe
217,Ginda,IN,75.85,Clear,30.6945,78.4932,Sunil Bisht
230,Balao,EC,74.66,Clouds,-2.9167,-79.8167,Gilson Stalin Lucas S
244,Sinnamary,GF,77.16,Clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
245,Kribi,CM,78.31,Rain,2.95,9.9167,La Grace Hôtel
246,Saint-Pierre,RE,73.29,Clouds,-21.3393,55.4781,Lindsey Hôtel
247,Praia,CV,70.34,Clouds,14.9215,-23.5087,LT Aparthotel
249,Bubaque,GW,74.28,Clear,11.2833,-15.8333,"Casa Dora, Bubaque"
266,Kikwit,CD,70.54,Clouds,-5.041,18.8162,HOTEL PLACE YALABA
268,Benguela,AO,76.37,Rain,-12.5763,13.4055,Hotel Praia Morena
270,Riachao,BR,72.72,Clouds,-7.3619,-46.6172,Pousada Nordestina
277,Muisne,EC,75.31,Clouds,0.6,-80.0333,Quinta Samay
280,Chalmette,US,78.8,Clouds,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
287,Port Said,EG,78.78,Clear,31.2565,32.2841,Aracan Hotel
296,Colombia,CU,71.11,Rain,20.9881,-77.4297,Casa Lazara y Pupi
300,Oistins,BB,78.89,Clouds,13.0667,-59.5333,Butterfly Beach Hotel
301,Ahipara,NZ,70.99,Clouds,-35.1667,173.1667,Ahipara Holiday Park
305,Nieuw Amsterdam,SR,79.02,Clouds,5.8833,-55.0833,Hotel Stardust
314,Bathsheba,BB,79.41,Clouds,13.2167,-59.5167,Atlantis Hotel
316,Inongo,CD,72.63,Rain,-1.95,18.2667,Hotel Du Lac
317,Padang,ID,75.25,Rain,-0.9492,100.3543,Mercure Padang
325,Cobija,BO,76.21,Clouds,-11.0267,-68.7692,Hotel Obelisco
336,Punta Gorda,US,79.0,Clear,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
343,Guarapari,BR,73.89,Clouds,-20.6667,-40.4975,Hotel Porto do Sol
345,Dunmore Town,BS,76.15,Clouds,25.5,-76.65,Coral Sands Hotel
354,Sao Filipe,CV,70.79,Clouds,14.8961,-24.4956,Hotel Xaguate
357,Tucurui,BR,73.87,Clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
360,Minna,NG,76.71,Thunderstorm,9.6139,6.5569,Royal Park hotel & suites
